"pid","laddr","raddr","status"
"263","192.168.1.39@50267","173.194.203.188@5228","ESTABLISHED"
"263","192.168.1.39@51023","192.30.253.125@443","ESTABLISHED"
"263","192.168.1.39@50362","34.194.1.72@443","ESTABLISHED"
"263","192.168.1.39@50281","52.35.136.220@443","ESTABLISHED"
"263","192.168.1.39@51599","192.30.253.124@443","ESTABLISHED"
"263","192.168.50.92@62332","192.168.50.49@8009","CLOSE"
"263","192.168.1.39@50341","52.202.201.151@443","ESTABLISHED"
"263","192.168.1.39@51122","192.30.253.124@443","ESTABLISHED"
"409","192.168.1.39@50270","52.7.232.119@443","CLOSE_WAIT"
"409","192.168.1.39@50272","108.160.172.204@443","CLOSE_WAIT"
"409","192.168.1.39@50271","162.125.34.129@443","ESTABLISHED"
"409","192.168.1.39@50277","162.125.34.129@443","ESTABLISHED"
"409","10.250.115.169@49373","108.160.172.236@443","CLOSE_WAIT"
"409","10.250.115.169@49490","162.125.18.129@443","CLOSE_WAIT"
"396","192.168.1.39@50344","216.58.194.173@443","CLOSE_WAIT"
"396","192.168.1.39@50324","173.194.202.125@5222","ESTABLISHED"
"396","192.168.50.92@63038","216.58.193.202@443","CLOSE_WAIT"
"396","192.168.1.39@50328","216.58.194.202@443","CLOSE_WAIT"
"396","10.250.115.169@49474","216.58.194.202@443","CLOSE_WAIT"
"76","192.168.1.39@50275","17.188.165.208@5223","ESTABLISHED"
"76","192.168.1.39@50276","17.249.28.22@5223","ESTABLISHED"
"76","192.168.1.39@50275","17.188.165.208@5223","ESTABLISHED"
"76","192.168.1.39@50276","17.249.28.22@5223","ESTABLISHED"
"14197","192.168.1.39@51693","17.248.128.232@443","ESTABLISHED"
"14197","192.168.1.39@51693","17.248.128.232@443","ESTABLISHED"
